date,value_A,value_B,value_C
2019-10-01 20:52:50.284231,1044.209921219854,542.1087117273737,1784.889371557192
2019-10-02 20:52:50.284231,1101.0468106068904,498.426137213666,1938.2093195152272
2019-10-03 20:52:50.284231,1075.4606000071967,503.31769959804024,2208.330720701611
2019-10-04 20:52:50.284231,958.5672585587403,448.42426934819645,2087.7782965114534
2019-10-05 20:52:50.284231,1063.9212292746936,423.3323872453435,1718.930585126434
2019-10-06 20:52:50.284231,936.0512089068004,531.4597324863869,2324.2897958214726
2019-10-07 20:52:50.284231,1026.3271219454002,475.92236415850266,1656.523057275232
2019-10-08 20:52:50.284231,1117.3503117783582,479.94704274213575,1985.5800619585477
2019-10-09 20:52:50.284231,1074.5294416020856,467.58318290506156,1938.1389201269885
2019-10-10 20:52:50.284231,1187.6660298731388,520.9281442127927,1809.6495752391331
2019-10-11 20:52:50.284231,967.874340582063,429.5918478223208,1687.6462369111596
2019-10-12 20:52:50.284231,1051.1124284933294,556.8870072540024,2091.549748765169
2019-10-13 20:52:50.284231,1095.9569701788487,501.94546089040824,1803.8503704979312
2019-10-14 20:52:50.284231,1092.5815297420995,502.3440599286973,1873.1439137894095
2019-10-15 20:52:50.284231,967.314180831714,495.24893066923516,2422.5369535384666
2019-10-16 20:52:50.284231,866.3631489442704,483.4148243628764,1693.9894565842949
2019-10-17 20:52:50.284231,1079.6273185777764,491.22728812684414,1969.5361338255088
2019-10-18 20:52:50.284231,864.7795420221003,548.6140117050745,2070.5343756916304
2019-10-19 20:52:50.284231,1053.4917232493528,615.0362484138709,2343.4531243812717
2019-10-20 20:52:50.284231,1247.8003445938664,555.5468956450918,1649.5830647416683
2019-10-21 20:52:50.284231,839.082325897568,512.0832036700198,2013.2319257303552
2019-10-22 20:52:50.284231,1141.0086813539506,480.20989413087983,1883.9789229881385
2019-10-23 20:52:50.284231,849.6981399460668,551.3802568640117,1989.5195282135965
2019-10-24 20:52:50.284231,976.3454665070147,616.4252230778034,1961.1190373981185
2019-10-25 20:52:50.284231,876.7751630842947,482.48249013887903,1993.8039993100365
2019-10-26 20:52:50.284231,1107.4814559909348,360.01341226912405,2094.9546494772935
2019-10-27 20:52:50.284231,1002.1565411138777,548.5391266111379,2245.796920827584
2019-10-28 20:52:50.284231,1020.5968153046531,486.5133842965294,1642.6429766445885
2019-10-29 20:52:50.284231,1203.7605952732777,436.6943853201174,1945.0758734605286
